ID,ST_SMILES
617,"CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
"
620,"C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2
"
621,"O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
"
623,"CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
"
651,"CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
"
656,"COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
"
680,"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1
"
708,"O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
"
709,"COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
"
719,"C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
"
723,"COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
"
726,"OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
"
752,"Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
"
753,"CC(COc1ccccc1)N(CCCl)Cc1ccccc1
"
766,"CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O
"
779,"CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
"
787,"CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
"
788,"O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
"
799,"O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
"
809,"CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
"
811,"CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
"
814,"COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
"
826,"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
"
832,"O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
"
836,"CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
"
850,"C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1
"
880,"CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
"
892,"COc1ccc2[nH]c(SCc3ncc(C)c(OC)c3C)nc2c1
"
895,"Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314
"
896,"OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
"
902,"NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
"
908,"CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
"
911,"Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
"
914,"CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
"
916,"CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O
"
922,"CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
"
927,"C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
"
932,"OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
"
