minimizedAffinity,ID,smiles
-5.76336,799,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
-6.55553,809,C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
-6.41772,811,C[NH+](C)CC[C@H](c1ccc(Br)cc1)c1ccccn1
-6.05238,814,COCCCC/C(=N\OCC[NH3+])c1ccc(C(F)(F)F)cc1
-5.81117,826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21
-5.70977,836,CCOc1ccccc1OCC[NH2+][C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
-6.29747,850,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)[NH2+]1
-6.92138,880,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
-6.78275,892,COc1ccc2[nH]c(SCc3ncc(C)c(OC)c3C)[nH+]c2c1
-6.85279,895,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)[N@@H+](CC2CCC2)CC[C@]314
-6.29185,896,OCCOCC[NH+]1CC[NH+]([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1
-5.54167,902,NC(N)=[NH+]c1nc(CSCC/C(N)=[NH+]/S(N)(=O)=O)cs1
-6.72038,908,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
-6.61535,911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
-7.03334,914,CC(C)(C(=O)O)c1ccc([C@H](O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
-7.06603,916,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)C(=O)O
-7.24359,922,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
-7.62621,927,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
-6.45763,932,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
-7.93162,936,OC(CCC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1
-8.28012,939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1
-9.00270,941,Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH+](C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
-6.78692,953,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
-8.70436,957,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
-6.45588,967,CN1C(=O)[C@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21
-4.87597,968,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
-6.62937,969,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1
-6.28483,970,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
-6.39924,981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O
-5.89352,982,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CC[N@@H+]3CC2CC2)[C@H]1O5
-6.57690,990,C[N@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
-6.94598,996,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21
-5.88720,997,CCCCC[N@@H+](C)CCC(O)(P(=O)(O)O)P(=O)(O)O
-6.80822,1000,O=C(O)COCC[NH+]1CC[NH+]([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1
-5.98900,1008,CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1
-7.08868,1013,[NH3+][C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
-7.89458,1023,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
-6.59943,1027,Cc1ccsc1C(=CCC[N@@H+]1CCC[C@@H](C(=O)O)C1)c1sccc1C
-6.75481,1040,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12
